Type,id,prof,use,group,prof_p,use_p,prof_perc,use_perc,prof_z,use_z,remove
advanced_l2,aes24,53,50,l2,0.9464285714285714,0.5,94.64285714285714,50,2.01810214919045,0.5386201094410519,0
advanced_l2,aes02,44,30,l2,0.7857142857142857,0.3,78.57142857142857,30,0.710476566561649,-0.613508466903444,0
advanced_l2,aes03,49,20,l2,0.875,0.2,87.5,20,1.43693522357765,-1.1895727550756918,0
advanced_l2,aes04,48,30,l2,0.8571428571428571,0.3,85.71428571428571,30,1.2916434921744493,-0.613508466903444,0
advanced_l2,aes05,42,50,l2,0.75,0.5,75,50,0.4198931037552489,0.5386201094410519,0
advanced_l2,aes06,49,60,l2,0.875,0.6,87.5,60,1.43693522357765,1.1146843976132998,0
advanced_l2,aes07,41,35,l2,0.7321428571428571,0.35,73.21428571428571,35,0.2746013723520483,-0.32547632281732003,0
advanced_l2,aes08,40,20,l2,0.7142857142857143,0.2,71.42857142857143,20,0.1293096409488488,-1.1895727550756918,0
advanced_l2,aes09,54,40,l2,0.9642857142857143,0.4,96.42857142857143,40,2.163393880593651,-0.037444178731196036,0
advanced_l2,aes10,45,40,l2,0.8035714285714286,0.4,80.35714285714286,40,0.8557682979648498,-0.037444178731196036,0
advanced_l2,aes11,40,60,l2,0.7142857142857143,0.6,71.42857142857143,60,0.1293096409488488,1.1146843976132998,0
advanced_l2,aes12,53,50,l2,0.9464285714285714,0.5,94.64285714285714,50,2.01810214919045,0.5386201094410519,0
advanced_l2,aes13,43,50,l2,0.7678571428571429,0.5,76.78571428571429,50,0.5651848351584495,0.5386201094410519,0
advanced_l2,aes14,48,20,l2,0.8571428571428571,0.2,85.71428571428571,20,1.2916434921744493,-1.1895727550756918,0
advanced_l2,aes15,48,40,l2,0.8571428571428571,0.4,85.71428571428571,40,1.2916434921744493,-0.037444178731196036,0
advanced_l2,aes16,43,30,l2,0.7678571428571429,0.3,76.78571428571429,30,0.5651848351584495,-0.613508466903444,0
advanced_l2,aes17,47,30,l2,0.8392857142857143,0.3,83.92857142857143,30,1.14635176077125,-0.613508466903444,0
advanced_l2,aes18,42,50,l2,0.75,0.5,75,50,0.4198931037552489,0.5386201094410519,0
advanced_l2,aes19,48,50,l2,0.8571428571428571,0.5,85.71428571428571,50,1.2916434921744493,0.5386201094410519,0
advanced_l2,aes20,47,50,l2,0.8392857142857143,0.5,83.92857142857143,50,1.14635176077125,0.5386201094410519,0
advanced_l2,aes23,55,50,l2,0.9821428571428571,0.5,98.21428571428571,50,2.30868561199685,0.5386201094410519,0
advanced_l2,aes25,41,70,l2,0.7321428571428571,0.7,73.21428571428571,70,0.2746013723520483,1.6907486857855478,0
advanced_l2,aes26,44,50,l2,0.7857142857142857,0.5,78.57142857142857,50,0.710476566561649,0.5386201094410519,0
advanced_l2,aes27,45,50,l2,0.8035714285714286,0.5,80.35714285714286,50,0.8557682979648498,0.5386201094410519,0
advanced_l2,aes30,47,50,l2,0.8392857142857143,0.5,83.92857142857143,50,1.14635176077125,0.5386201094410519,0
advanced_l2,aes31,43,60,l2,0.7678571428571429,0.6,76.78571428571429,60,0.5651848351584495,1.1146843976132998,0
advanced_heritage,ahs01,41,30,hl,0.7321428571428571,0.3,73.21428571428571,30,0.2746013723520483,-0.613508466903444,0
advanced_heritage,ahs02,43,50,hl,0.7678571428571429,0.5,76.78571428571429,50,0.5651848351584495,0.5386201094410519,0
advanced_heritage,ahs03,47,75,hl,0.8392857142857143,0.75,83.92857142857143,75,1.14635176077125,1.9787808298716718,1
advanced_heritage,ahs04,46,60,hl,0.8214285714285714,0.6,82.14285714285714,60,1.0010600293680492,1.1146843976132998,0
advanced_heritage,ahs05,41,40,hl,0.7321428571428571,0.4,73.21428571428571,40,0.2746013723520483,-0.037444178731196036,0
advanced_heritage,ahs06,47,50,hl,0.8392857142857143,0.5,83.92857142857143,50,1.14635176077125,0.5386201094410519,0
advanced_heritage,ahs08,46,25,hl,0.8214285714285714,0.25,82.14285714285714,25,1.0010600293680492,-0.901540610989568,0
advanced_heritage,ahs09,41,20,hl,0.7321428571428571,0.2,73.21428571428571,20,0.2746013723520483,-1.1895727550756918,0
advanced_heritage,ahs10,44,50,hl,0.7857142857142857,0.5,78.57142857142857,50,0.710476566561649,0.5386201094410519,0
advanced_heritage,ahs11,44,60,hl,0.7857142857142857,0.6,78.57142857142857,60,0.710476566561649,1.1146843976132998,0
advanced_heritage,ahs12,43,80,hl,0.7678571428571429,0.8,76.78571428571429,80,0.5651848351584495,2.2668129739577956,1
advanced_heritage,ahs13,42,50,hl,0.75,0.5,75,50,0.4198931037552489,0.5386201094410519,0
advanced_heritage,ahs14,40,30,hl,0.7142857142857143,0.3,71.42857142857143,30,0.1293096409488488,-0.613508466903444,0
advanced_heritage,ahs15,45,70,hl,0.8035714285714286,0.7,80.35714285714286,70,0.8557682979648498,1.6907486857855478,0
advanced_heritage,ahs16,44,60,hl,0.7857142857142857,0.6,78.57142857142857,60,0.710476566561649,1.1146843976132998,0
advanced_heritage,ahs17,40,30,hl,0.7142857142857143,0.3,71.42857142857143,30,0.1293096409488488,-0.613508466903444,0
advanced_heritage,ahs18,46,30,hl,0.8214285714285714,0.3,82.14285714285714,30,1.0010600293680492,-0.613508466903444,0
advanced_heritage,ahs19,47,30,hl,0.8392857142857143,0.3,83.92857142857143,30,1.14635176077125,-0.613508466903444,0
advanced_heritage,ahs20,40,40,hl,0.7142857142857143,0.4,71.42857142857143,40,0.1293096409488488,-0.037444178731196036,0
advanced_heritage,ahs21,42,50,hl,0.75,0.5,75,50,0.4198931037552489,0.5386201094410519,0
advanced_heritage,ahs22,46,40,hl,0.8214285714285714,0.4,82.14285714285714,40,1.0010600293680492,-0.037444178731196036,0
advanced_heritage,ahs23,45,70,hl,0.8035714285714286,0.7,80.35714285714286,70,0.8557682979648498,1.6907486857855478,0
advanced_heritage,ahs24,40,50,hl,0.7142857142857143,0.5,71.42857142857143,50,0.1293096409488488,0.5386201094410519,0
intermediate_l2,ies01,28,25,l2,0.5,0.25,50,25,-1.614191135889553,-0.901540610989568,0
intermediate_l2,ies02,26,30,l2,0.4642857142857143,0.3,46.42857142857143,30,-1.9047745986959532,-0.613508466903444,0
intermediate_l2,ies03,39,35,l2,0.6964285714285714,0.35,69.64285714285714,35,-0.015982090454351852,-0.32547632281732003,0
intermediate_l2,ies05,35,20,l2,0.625,0.2,62.5,20,-0.5971490160671521,-1.1895727550756918,0
intermediate_l2,ies06,37,20,l2,0.6607142857142857,0.2,66.07142857142857,20,-0.30656555326075197,-1.1895727550756918,0
intermediate_l2,ies07,35,20,l2,0.625,0.2,62.5,20,-0.5971490160671521,-1.1895727550756918,0
intermediate_l2,ies08,29,50,l2,0.5178571428571429,0.5,51.78571428571429,50,-1.4688994044863526,0.5386201094410519,0
intermediate_l2,ies09,32,15,l2,0.5714285714285714,0.15,57.14285714285714,15,-1.0330242102767528,-1.4776048991618158,1
intermediate_l2,ies10,34,25,l2,0.6071428571428571,0.25,60.71428571428571,25,-0.7424407474703528,-0.901540610989568,0
intermediate_l2,ies11,38,40,l2,0.6785714285714286,0.4,67.85714285714286,40,-0.16127382185755135,-0.037444178731196036,0
intermediate_l2,ies12,26,20,l2,0.4642857142857143,0.2,46.42857142857143,20,-1.9047745986959532,-1.1895727550756918,0
intermediate_l2,ies13,39,20,l2,0.6964285714285714,0.2,69.64285714285714,20,-0.015982090454351852,-1.1895727550756918,0
intermediate_l2,ies15,29,40,l2,0.5178571428571429,0.4,51.78571428571429,40,-1.4688994044863526,-0.037444178731196036,0
intermediate_l2,ies16,35,30,l2,0.625,0.3,62.5,30,-0.5971490160671521,-0.613508466903444,0
intermediate_l2,ies18,35,40,l2,0.625,0.4,62.5,40,-0.5971490160671521,-0.037444178731196036,0
intermediate_l2,ies19,37,90,l2,0.6607142857142857,0.9,66.07142857142857,90,-0.30656555326075197,2.8428772621300435,0
intermediate_l2,ies20,35,20,l2,0.625,0.2,62.5,20,-0.5971490160671521,-1.1895727550756918,0
intermediate_l2,ies21,29,20,l2,0.5178571428571429,0.2,51.78571428571429,20,-1.4688994044863526,-1.1895727550756918,0
intermediate_l2,ies22,32,30,l2,0.5714285714285714,0.3,57.14285714285714,30,-1.0330242102767528,-0.613508466903444,0
intermediate_l2,ies23,34,50,l2,0.6071428571428571,0.5,60.71428571428571,50,-0.7424407474703528,0.5386201094410519,0
intermediate_l2,ies24,38,50,l2,0.6785714285714286,0.5,67.85714285714286,50,-0.16127382185755135,0.5386201094410519,0
intermediate_l2,ies25,26,20,l2,0.4642857142857143,0.2,46.42857142857143,20,-1.9047745986959532,-1.1895727550756918,0
intermediate_l2,ies26,39,15,l2,0.6964285714285714,0.15,69.64285714285714,15,-0.015982090454351852,-1.4776048991618158,1
intermediate_l2,ies29,26,15,l2,0.4642857142857143,0.15,46.42857142857143,15,-1.9047745986959532,-1.4776048991618158,1
intermediate_l2,ies31,33,20,l2,0.5892857142857143,0.2,58.92857142857143,20,-0.8877324788735522,-1.1895727550756918,0
intermediate_l2,ies32,31,20,l2,0.5535714285714286,0.2,55.35714285714286,20,-1.1783159416799525,-1.1895727550756918,0
intermediate_l2,ies33,36,50,l2,0.6428571428571429,0.5,64.28571428571429,50,-0.4518572846639515,0.5386201094410519,0
intermediate_heritage,ihs01,38,20,hl,0.6785714285714286,0.2,67.85714285714286,20,-0.16127382185755135,-1.1895727550756918,0
intermediate_heritage,ihs02,37,50,hl,0.6607142857142857,0.5,66.07142857142857,50,-0.30656555326075197,0.5386201094410519,0
intermediate_heritage,ihs03,34,10,hl,0.6071428571428571,0.1,60.71428571428571,10,-0.7424407474703528,-1.7656370432479398,0
intermediate_heritage,ihs04,33,50,hl,0.5892857142857143,0.5,58.92857142857143,50,-0.8877324788735522,0.5386201094410519,0
intermediate_heritage,ihs05,36,20,hl,0.6428571428571429,0.2,64.28571428571429,20,-0.4518572846639515,-1.1895727550756918,0
intermediate_heritage,ihs06,28,60,hl,0.5,0.6,50,60,-1.614191135889553,1.1146843976132998,0
intermediate_heritage,ihs07,31,40,hl,0.5535714285714286,0.4,55.35714285714286,40,-1.1783159416799525,-0.037444178731196036,0
intermediate_heritage,ihs08,36,40,hl,0.6428571428571429,0.4,64.28571428571429,40,-0.4518572846639515,-0.037444178731196036,0
intermediate_heritage,ihs09,33,50,hl,0.5892857142857143,0.5,58.92857142857143,50,-0.8877324788735522,0.5386201094410519,0
intermediate_heritage,ihs10,37,50,hl,0.6607142857142857,0.5,66.07142857142857,50,-0.30656555326075197,0.5386201094410519,0
intermediate_heritage,ihs11,36,50,hl,0.6428571428571429,0.5,64.28571428571429,50,-0.4518572846639515,0.5386201094410519,0
intermediate_heritage,ihs12,30,10,hl,0.5357142857142857,0.1,53.57142857142857,10,-1.323607673083153,-1.7656370432479398,0
intermediate_heritage,ihs13,30,70,hl,0.5357142857142857,0.7,53.57142857142857,70,-1.323607673083153,1.6907486857855478,1
intermediate_heritage,ihs15,38,25,hl,0.6785714285714286,0.25,67.85714285714286,25,-0.16127382185755135,-0.901540610989568,0
intermediate_heritage,ihs16,39,40,hl,0.6964285714285714,0.4,69.64285714285714,40,-0.015982090454351852,-0.037444178731196036,0
intermediate_heritage,ihs17,32,50,hl,0.5714285714285714,0.5,57.14285714285714,50,-1.0330242102767528,0.5386201094410519,0
intermediate_heritage,ihs18,31,70,hl,0.5535714285714286,0.7,55.35714285714286,70,-1.1783159416799525,1.6907486857855478,1
intermediate_heritage,ihs21,39,30,hl,0.6964285714285714,0.3,69.64285714285714,30,-0.015982090454351852,-0.613508466903444,0
intermediate_heritage,ihs22,37,40,hl,0.6607142857142857,0.4,66.07142857142857,40,-0.30656555326075197,-0.037444178731196036,0
intermediate_heritage,ihs24,27,75,hl,0.48214285714285715,0.75,48.214285714285715,75,-1.7594828672927532,1.9787808298716718,1
intermediate_heritage,ihs25,35,20,hl,0.625,0.2,62.5,20,-0.5971490160671521,-1.1895727550756918,0
intermediate_heritage,ihs26,38,50,hl,0.6785714285714286,0.5,67.85714285714286,50,-0.16127382185755135,0.5386201094410519,0
intermediate_heritage,ihs27,31,60,hl,0.5535714285714286,0.6,55.35714285714286,60,-1.1783159416799525,1.1146843976132998,0
intermediate_heritage,ihs28,33,30,hl,0.5892857142857143,0.3,58.92857142857143,30,-0.8877324788735522,-0.613508466903444,0
